"user_id","screen_name","text","is_retweet","favorite_count","retweet_count","hashtags","reply_to_screen_name","mentions_screen_name","retweet_screen_name"
"759251","CNN","Folks seemed puzzled by Jennifer Lopez's medley of Motown hits at the Grammys https://t.co/h6rRUTT1Ry https://t.co/ZRxwSgm5Qz",FALSE,687,140,NA,NA,NA,NA
"759251","CNN","Childish Gambino makes Grammy history with ""This Is America,"" which becomes the first rap song to win song of the year https://t.co/QU5lh5tUFD https://t.co/SEEsLChk4x",FALSE,3834,711,NA,NA,NA,NA
"759251","CNN","Former first lady Michelle Obama made a surprise cameo to open the Grammys and spoke about the power of music: ""Music helps us share ourselves ... It allows us to hear one another"" https://t.co/7zxzT0sp9R https://t.co/fxhmvJ1Wuf",FALSE,2250,389,NA,NA,NA,NA
"759251","CNN","Soundgarden singer Chris Cornell wins a Grammy award for best rock performance, almost two years after his death https://t.co/l3eqleqlL7 https://t.co/EWmHXsEBai",FALSE,2324,541,NA,NA,NA,NA
"759251","CNN","“God’s Plan” by Drake wins best rap song #Grammys https://t.co/Td6jDuSu8l https://t.co/goLMnTWcJb",FALSE,2375,533,"Grammys",NA,NA,NA
"759251","CNN","Dolly Parton received an all-star tribute fit for a country music queen at the Grammy Awards https://t.co/5aPtCgi0xx https://t.co/Bv4fg8Orn6",FALSE,1129,138,NA,NA,NA,NA
"759251","CNN","“Golden Hour” by Kacey Musgraves wins best country album #Grammys https://t.co/wAEYx7kCzJ https://t.co/JijcyZrj1P",FALSE,1200,184,"Grammys",NA,NA,NA
"759251","CNN","Childish Gambino's ""This Is America"" is the first rap song to win song of the year at the Grammys. The rapper reportedly declined an invitation to perform, and he also wasn't in the house to pick up his award. https://t.co/ATuNqJublD https://t.co/ABFmLFAS7g",FALSE,2068,498,NA,NA,NA,NA
"759251","CNN","What can the newest presidential campaign logos tell us about 2020? https://t.co/lWLLXgUX31 https://t.co/R2vLpW0tDC",FALSE,214,77,NA,NA,NA,NA
"759251","CNN","“This Is America” by Childish Gambino wins song of the year #Grammys https://t.co/b23m1vSUsz https://t.co/CDMePERlY3",FALSE,10219,2387,"Grammys",NA,NA,NA
